377,31,156,151,21',6
378,336,275,262,50',10
379,336,337,320,56',12
380,336,339,335,42',12
381,384,463,456,23',17
383,381,80,84,65',3
384,381,86,87,13',3
385,381,71,NULL,25',3
386,381,275,NULL,84',10
387,381,87,80,41',3
388,414,434,NULL,10',16
389,414,477,488,44',18
390,90,380,386,44',14
391,53,539,533,83',20
393,53,368,363,75',13
394,207,567,NULL,20',21
395,377,79,69,23',3
396,377,83,74,65',3
397,377,71,84,55',3
398,111,84,NULL,63',3
399,111,79,NULL,70',3
400,111,380,386,39',14
401,111,139,89,32',3
402,111,89,78,43',3
403,111,139,89,08',3
404,111,78,84,27',3
405,111,89,72,76',3
406,312,576,558,37',21
408,312,576,566,08',21
409,312,558,566,48',21
410,38,342,NULL,26',9
411,38,248,NULL,19',9
412,38,342,NULL,46',9
413,38,246,342,66',9
414,38,342,243,31',9
415,138,368,369,34',13
416,138,513,496,29',19
417,410,453,447,06',17
418,410,462,NULL,47',17
419,410,191,192,89',7
420,410,462,463,51',17
421,410,447,455,79',17
422,410,195,NULL,87',7
423,410,193,179,31',7
424,410,462,456,38',17
425,50,304,287,04',11
426,50,429,431,29',16
427,50,425,422,11',16
428,50,287,NULL,08',11
429,50,295,285,23',11
430,50,423,426,38',16
431,66,645,NULL,15',15
432,66,83,89,52',3
434,66,89,NULL,02',3
436,203,339,NULL,59',12
437,10,576,401,29',15
438,224,412,142,59',5
439,224,142,412,55',5
440,224,142,412,52',5
441,187,112,107,87',4
442,391,479,484,24',18
443,391,488,NULL,86',18
444,391,235,241,34',9
445,277,235,239,69',9
446,277,243,242,81',9
447,277,234,630,90',9
448,247,60,59,64',2
449,247,48,43,54',2
450,247,269,264,42',10
451,87,89,80,74',3
453,87,193,190,81',7
454,87,193,NULL,22',7
455,87,192,190,39',7
456,439,295,300,42',11
457,101,143,178,37',5
458,101,382,373,13',14
460,214,533,NULL,05',20
461,214,196,NULL,36',7
462,219,607,NULL,13',22
463,219,411,408,05',15
464,333,193,178,71',7
466,333,67,83,42',3
747,61,339,337,88',12
748,313,604,585,01',22
749,313,585,NULL,44',22
750,400,275,271,60',10
752,5,186,NULL,44',7
753,5,503,NULL,15',19
754,110,107,614,79',4
755,110,29,22,85',1
756,110,23,NULL,10',1
757,127,497,NULL,09',19
758,127,429,NULL,44',16
759,127,513,514,17',19
760,281,538,525,63',20
761,281,539,NULL,39',20
763,278,295,283,78',11
764,278,86,78,04',3
765,278,305,296,33',11
767,42,453,462,45',17
768,270,117,111,47',4
769,270,463,443,88',17
770,349,29,NULL,29',1
771,349,25,21,28',1
772,306,335,342,82',12
773,306,335,339,83',12
774,306,539,535,77',20
775,441,428,439,30',16
776,250,496,NULL,42',19
777,178,641,386,17',14
778,178,373,NULL,49',14
779,178,48,NULL,46',2
780,178,47,35,45',2
781,178,439,NULL,30',14
782,379,411,NULL,05',15
